,V1,V2,V3,V4,V5,V6,V7,V8
146,3,46,1,1,0,0,0,0
147,3,47,1,1,0,0,0,0
148,3,48,5,2,0,0,1,0
149,3,49,7,2,1,0,0,0
150,3,50,3,1,1,0,0,0
151,4,1,8,2,1,1,-1,0
152,4,2,2,1,0,1,0,0
153,4,3,6,2,0,1,0,0
154,4,4,6,2,0,1,1,0
155,4,5,8,2,1,1,0,-1
156,4,6,7,2,1,0,0,1
157,4,7,8,2,1,1,0,0
158,4,8,4,1,1,1,0,0
159,4,9,4,1,1,1,0,0
160,4,10,4,1,1,1,0,0
161,4,11,4,1,1,1,0,0
162,4,12,4,1,1,1,-1,0
163,4,13,2,1,0,1,0,0
164,4,14,6,2,0,1,0,0
165,4,15,6,2,0,1,0,-1
166,4,16,1,1,0,0,1,0
167,4,17,3,1,1,0,0,0
168,4,18,3,1,1,0,0,1
169,4,19,8,2,1,1,0,-1
170,4,20,3,1,1,0,0,0
171,4,21,3,1,1,0,-1,1
172,4,22,6,2,0,1,0,-1
173,4,23,5,2,0,0,0,0
174,4,24,1,1,0,0,0,0
175,4,25,5,2,0,0,0,0
176,4,26,5,2,0,0,0,0
177,4,27,5,2,0,0,1,0
178,4,28,3,1,1,0,0,0
179,4,29,3,1,1,0,0,1
180,4,30,4,1,1,1,0,0
181,4,31,4,1,1,1,-1,0
182,4,32,2,1,0,1,1,0
183,4,33,4,1,1,1,0,0
184,4,34,8,2,1,1,0,0
185,4,35,8,2,1,1,-1,0
186,4,36,2,1,0,1,1,0
187,4,37,8,2,1,1,0,-1
188,4,38,7,2,1,0,0,0
189,4,39,7,2,1,0,0,0
190,4,40,7,2,1,0,0,0
191,4,41,7,2,1,0,0,0
192,4,42,7,2,1,0,0,0
193,4,43,3,1,1,0,-1,1
194,4,44,2,1,0,1,0,0
195,4,45,2,1,0,1,0,0
196,4,46,2,1,0,1,0,-1
197,4,47,1,1,0,0,0,1
198,4,48,2,1,0,1,1,0
199,4,49,4,1,1,1,0,0
200,4,50,8,2,1,1,0,0
201,5,1,2,1,0,1,0,0
202,5,2,6,2,0,1,0,-1
203,5,3,1,1,0,0,0,0
204,5,4,1,1,0,0,1,1
205,5,5,4,1,1,1,0,0
206,5,6,4,1,1,1,0,0
207,5,7,8,2,1,1,0,0
208,5,8,4,1,1,1,0,0
209,5,9,4,1,1,1,0,0
210,5,10,8,2,1,1,0,0
211,5,11,8,2,1,1,0,0
212,5,12,4,1,1,1,0,0
213,5,13,8,2,1,1,0,0
214,5,14,8,2,1,1,0,0
215,5,15,8,2,1,1,0,0
216,5,16,8,2,1,1,0,0
217,5,17,4,1,1,1,0,0
218,5,18,4,1,1,1,0,0
219,5,19,8,2,1,1,0,0
220,5,20,4,1,1,1,0,-1
221,5,21,7,2,1,0,0,0
222,5,22,7,2,1,0,0,0
223,5,23,7,2,1,0,0,0
224,5,24,7,2,1,0,0,0
225,5,25,3,1,1,0,0,0
226,5,26,7,2,1,0,0,0
227,5,27,3,1,1,0,0,0
228,5,28,3,1,1,0,-1,0
229,5,29,1,1,0,0,0,0
230,5,30,5,2,0,0,0,0
231,5,31,5,2,0,0,0,0
232,5,32,5,2,0,0,0,1
233,5,33,2,1,0,1,1,0
234,5,34,4,1,1,1,-1,0
235,5,35,2,1,0,1,1,0
236,5,36,4,1,1,1,0,-1
237,5,37,7,2,1,0,0,1
238,5,38,8,2,1,1,0,0
239,5,39,4,1,1,1,0,-1
240,5,40,3,1,1,0,0,1
241,5,41,8,2,1,1,0,0
242,5,42,4,1,1,1,0,-1
243,5,43,7,2,1,0,0,0
244,5,44,7,2,1,0,-1,0
245,5,45,1,1,0,0,1,0
246,5,46,3,1,1,0,0,0
247,5,47,3,1,1,0,0,0
248,5,48,3,1,1,0,0,0
249,5,49,3,1,1,0,0,0
250,5,50,3,1,1,0,0,0
251,6,1,5,2,0,0,0,0
252,6,2,5,2,0,0,1,0
253,6,3,7,2,1,0,0,0
254,6,4,3,1,1,0,0,0
255,6,5,3,1,1,0,0,0
256,6,6,3,1,1,0,0,1
257,6,7,4,1,1,1,0,0
258,6,8,4,1,1,1,0,0
259,6,9,8,2,1,1,0,0
260,6,10,8,2,1,1,0,-1
261,6,11,3,1,1,0,0,0
262,6,12,3,1,1,0,0,0
263,6,13,7,2,1,0,0,0
264,6,14,7,2,1,0,0,0
265,6,15,7,2,1,0,0,0
266,6,16,7,2,1,0,0,0
267,6,17,7,2,1,0,0,0
268,6,18,3,1,1,0,0,1
269,6,19,8,2,1,1,0,-1
270,6,20,3,1,1,0,0,1
271,6,21,4,1,1,1,0,0
272,6,22,4,1,1,1,0,-1
273,6,23,3,1,1,0,0,0
274,6,24,3,1,1,0,0,0
275,6,25,3,1,1,0,0,0
276,6,26,3,1,1,0,0,0
277,6,27,3,1,1,0,0,1
278,6,28,8,2,1,1,0,0
279,6,29,8,2,1,1,0,0
280,6,30,4,1,1,1,0,-1
281,6,31,3,1,1,0,0,1
282,6,32,8,2,1,1,0,-1
283,6,33,7,2,1,0,0,0
284,6,34,3,1,1,0,-1,0
285,6,35,5,2,0,0,1,1
286,6,36,8,2,1,1,-1,0
287,6,37,6,2,0,1,1,0
288,6,38,8,2,1,1,0,-1
289,6,39,3,1,1,0,0,1
290,6,40,4,1,1,1,0,-1
291,6,41,7,2,1,0,0,0
292,6,42,3,1,1,0,0,0
293,6,43,7,2,1,0,0,0
294,6,44,7,2,1,0,0,0
295,6,45,7,2,1,0,0,1
296,6,46,8,2,1,1,0,-1
297,6,47,7,2,1,0,0,1
298,6,48,8,2,1,1,0,0
299,6,49,8,2,1,1,-1,0
300,6,50,6,2,0,1,0,0
301,7,1,4,1,1,1,-1,0
302,7,2,2,1,0,1,0,-1
303,7,3,1,1,0,0,0,0
304,7,4,1,1,0,0,0,0
305,7,5,1,1,0,0,0,0
306,7,6,5,2,0,0,0,0
307,7,7,1,1,0,0,1,0
308,7,8,7,2,1,0,0,0
309,7,9,7,2,1,0,-1,1
310,7,10,2,1,0,1,1,0
311,7,11,8,2,1,1,-1,-1
312,7,12,1,1,0,0,0,0
313,7,13,5,2,0,0,0,1
314,7,14,6,2,0,1,0,0
315,7,15,2,1,0,1,0,-1
316,7,16,5,2,0,0,0,0
317,7,17,1,1,0,0,0,0
318,7,18,5,2,0,0,0,0
319,7,19,1,1,0,0,0,0
320,7,20,1,1,0,0,1,0
321,7,21,3,1,1,0,-1,0
322,7,22,1,1,0,0,0,0
323,7,23,1,1,0,0,0,0
324,7,24,5,2,0,0,0,0
325,7,25,5,2,0,0,1,0
326,7,26,7,2,1,0,0,0
327,7,27,7,2,1,0,0,1
328,7,28,4,1,1,1,0,0
329,7,29,8,2,1,1,0,-1
330,7,30,7,2,1,0,-1,0
331,7,31,1,1,0,0,1,0
332,7,32,3,1,1,0,0,0
333,7,33,3,1,1,0,0,0
334,7,34,3,1,1,0,0,0
335,7,35,3,1,1,0,-1,1
336,7,36,2,1,0,1,0,0
337,7,37,6,2,0,1,1,0
338,7,38,8,2,1,1,0,-1
339,7,39,3,1,1,0,0,1
340,7,40,4,1,1,1,0,-1
341,7,41,3,1,1,0,0,0
342,7,42,3,1,1,0,0,1
343,7,43,4,1,1,1,0,0
344,7,44,4,1,1,1,0,0
345,7,45,4,1,1,1,-1,0
346,7,46,2,1,0,1,0,0
347,7,47,2,1,0,1,0,0
348,7,48,2,1,0,1,0,0
349,7,49,2,1,0,1,0,0
350,7,50,2,1,0,1,1,0
351,8,1,5,2,0,0,0,0
352,8,2,1,1,0,0,0,0
353,8,3,5,2,0,0,0,0
354,8,4,1,1,0,0,1,0
355,8,5,7,2,1,0,0,0
356,8,6,7,2,1,0,0,0
357,8,7,7,2,1,0,0,0
358,8,8,3,1,1,0,0,0
359,8,9,3,1,1,0,0,0
360,8,10,3,1,1,0,-1,0
361,8,11,1,1,0,0,1,0
362,8,12,3,1,1,0,0,0
363,8,13,7,2,1,0,0,1
364,8,14,4,1,1,1,-1,0
365,8,15,6,2,0,1,0,-1
366,8,16,5,2,0,0,0,1
367,8,17,2,1,0,1,0,0
368,8,18,6,2,0,1,0,-1
369,8,19,1,1,0,0,1,0
370,8,20,7,2,1,0,0,0
371,8,21,7,2,1,0,0,1
372,8,22,4,1,1,1,0,0
373,8,23,4,1,1,1,0,-1
374,8,24,3,1,1,0,0,0
375,8,25,3,1,1,0,0,0
376,8,26,3,1,1,0,0,0
377,8,27,3,1,1,0,0,1
378,8,28,4,1,1,1,0,0
379,8,29,4,1,1,1,0,0
380,8,30,4,1,1,1,0,0
381,8,31,8,2,1,1,-1,0
382,8,32,2,1,0,1,0,0
383,8,33,2,1,0,1,0,0
384,8,34,2,1,0,1,0,0
385,8,35,2,1,0,1,0,-1
386,8,36,5,2,0,0,0,1
387,8,37,2,1,0,1,1,0
388,8,38,8,2,1,1,0,0
389,8,39,8,2,1,1,0,-1
390,8,40,7,2,1,0,0,0
391,8,41,7,2,1,0,0,0
392,8,42,3,1,1,0,0,0
393,8,43,3,1,1,0,0,0
394,8,44,3,1,1,0,0,0
395,8,45,3,1,1,0,0,0
396,8,46,7,2,1,0,0,0
397,8,47,3,1,1,0,0,0
398,8,48,3,1,1,0,0,0
399,8,49,3,1,1,0,0,1
400,8,50,4,1,1,1,0,0
401,9,1,5,2,0,0,0,0
402,9,2,5,2,0,0,0,0
403,9,3,5,2,0,0,1,0
404,9,4,7,2,1,0,0,0
405,9,5,7,2,1,0,0,0
406,9,6,7,2,1,0,0,1
407,9,7,8,2,1,1,-1,0
408,9,8,6,2,0,1,0,0
409,9,9,2,1,0,1,1,0
410,9,10,4,1,1,1,0,0
411,9,11,4,1,1,1,-1,0
412,9,12,2,1,0,1,1,0
413,9,13,4,1,1,1,0,0
414,9,14,8,2,1,1,0,-1
415,9,15,7,2,1,0,0,0
416,9,16,7,2,1,0,-1,0
417,9,17,1,1,0,0,0,0
418,9,18,5,2,0,0,0,0
419,9,19,1,1,0,0,1,0
420,9,20,3,1,1,0,0,0
421,9,21,3,1,1,0,0,0
422,9,22,3,1,1,0,0,0
423,9,23,3,1,1,0,0,1
424,9,24,4,1,1,1,-1,-1
425,9,25,1,1,0,0,0,0
426,9,26,1,1,0,0,0,1
427,9,27,2,1,0,1,1,0
428,9,28,4,1,1,1,0,-1
429,9,29,7,2,1,0,0,1
430,9,30,4,1,1,1,0,0
431,9,31,4,1,1,1,0,-1
432,9,32,7,2,1,0,0,0
433,9,33,3,1,1,0,0,0
434,9,34,3,1,1,0,0,0
435,9,35,3,1,1,0,0,1
436,9,36,8,2,1,1,0,-1
437,9,37,3,1,1,0,0,0
438,9,38,3,1,1,0,0,0
439,9,39,3,1,1,0,0,0
440,9,40,7,2,1,0,0,1
441,9,41,4,1,1,1,0,0
442,9,42,4,1,1,1,0,0
443,9,43,4,1,1,1,0,0
444,9,44,4,1,1,1,0,0
445,9,45,4,1,1,1,-1,0
446,9,46,2,1,0,1,0,0
447,9,47,2,1,0,1,0,-1
448,9,48,1,1,0,0,1,0
449,9,49,3,1,1,0,0,0
450,9,50,7,2,1,0,0,0
451,10,1,7,2,1,0,-1,0
452,10,2,1,1,0,0,0,0
453,10,3,5,2,0,0,0,0
454,10,4,5,2,0,0,1,0
455,10,5,7,2,1,0,0,0
456,10,6,7,2,1,0,0,0
457,10,7,7,2,1,0,0,0
458,10,8,7,2,1,0,0,0
459,10,9,7,2,1,0,0,0
460,10,10,3,1,1,0,0,1
461,10,11,4,1,1,1,0,0
462,10,12,8,2,1,1,0,0
463,10,13,8,2,1,1,-1,0
464,10,14,6,2,0,1,0,0
465,10,15,2,1,0,1,0,0
466,10,16,6,2,0,1,0,0
467,10,17,2,1,0,1,1,-1
468,10,18,7,2,1,0,0,0
469,10,19,7,2,1,0,0,1
470,10,20,4,1,1,1,0,-1
471,10,21,3,1,1,0,0,1
472,10,22,4,1,1,1,-1,-1
473,10,23,1,1,0,0,0,1
474,10,24,2,1,0,1,0,0
475,10,25,2,1,0,1,1,0
476,10,26,8,2,1,1,-1,-1
477,10,27,5,2,0,0,0,0
478,10,28,5,2,0,0,1,1
479,10,29,4,1,1,1,0,0
480,10,30,4,1,1,1,-1,0
481,10,31,6,2,0,1,1,0
482,10,32,8,2,1,1,0,0
483,10,33,4,1,1,1,0,0
484,10,34,4,1,1,1,0,0
485,10,35,4,1,1,1,0,0
486,10,36,4,1,1,1,-1,0
487,10,37,6,2,0,1,1,0
488,10,38,8,2,1,1,0,-1
489,10,39,3,1,1,0,0,0
490,10,40,3,1,1,0,0,0
491,10,41,3,1,1,0,0,1
492,10,42,4,1,1,1,-1,0
493,10,43,2,1,0,1,1,-1
494,10,44,3,1,1,0,0,0
495,10,45,3,1,1,0,0,0
496,10,46,3,1,1,0,0,0
497,10,47,7,2,1,0,0,0
498,10,48,7,2,1,0,0,0
499,10,49,7,2,1,0,0,1
500,10,50,4,1,1,1,-1,-1
501,11,1,6,2,0,1,0,0
502,11,2,6,2,0,1,1,-1
503,11,3,7,2,1,0,0,0
504,11,4,7,2,1,0,0,0
505,11,5,3,1,1,0,-1,1
506,11,6,2,1,0,1,0,0
507,11,7,2,1,0,1,0,0
508,11,8,2,1,0,1,0,0
509,11,9,6,2,0,1,0,0
510,11,10,6,2,0,1,1,0
511,11,11,4,1,1,1,0,0
512,11,12,4,1,1,1,0,0
513,11,13,4,1,1,1,0,0
514,11,14,4,1,1,1,0,0
515,11,15,4,1,1,1,0,0
516,11,16,4,1,1,1,0,0
517,11,17,8,2,1,1,-1,0
518,11,18,6,2,0,1,0,0
519,11,19,6,2,0,1,1,0
520,11,20,8,2,1,1,0,0
521,11,21,4,1,1,1,0,0
522,11,22,4,1,1,1,0,-1
523,11,23,3,1,1,0,0,1
524,11,24,4,1,1,1,0,0
525,11,25,8,2,1,1,-1,0
526,11,26,6,2,0,1,0,-1
527,11,27,5,2,0,0,0,0
528,11,28,5,2,0,0,0,0
529,11,29,5,2,0,0,0,0
530,11,30,5,2,0,0,1,0
531,11,31,3,1,1,0,0,1
532,11,32,4,1,1,1,0,0
533,11,33,4,1,1,1,-1,0
534,11,34,2,1,0,1,1,0
535,11,35,8,2,1,1,-1,-1
536,11,36,5,2,0,0,0,0
537,11,37,5,2,0,0,0,1
538,11,38,2,1,0,1,1,0
539,11,39,8,2,1,1,0,-1
540,11,40,3,1,1,0,0,1
541,11,41,4,1,1,1,0,0
542,11,42,4,1,1,1,0,0
543,11,43,4,1,1,1,0,0
544,11,44,4,1,1,1,0,0
545,11,45,4,1,1,1,0,0
546,11,46,4,1,1,1,-1,0
547,11,47,2,1,0,1,0,0
548,11,48,6,2,0,1,0,-1
549,11,49,1,1,0,0,0,1
550,11,50,6,2,0,1,0,0
551,12,1,1,1,0,0,0,1
552,12,2,2,1,0,1,0,0
553,12,3,6,2,0,1,1,0
554,12,4,8,2,1,1,0,-1
555,12,5,7,2,1,0,0,0
556,12,6,7,2,1,0,0,0
557,12,7,3,1,1,0,-1,0
558,12,8,5,2,0,0,0,0
559,12,9,5,2,0,0,0,0
560,12,10,5,2,0,0,0,0
561,12,11,5,2,0,0,1,0
562,12,12,7,2,1,0,0,0
563,12,13,3,1,1,0,0,0
564,12,14,3,1,1,0,-1,1
565,12,15,6,2,0,1,0,0
566,12,16,2,1,0,1,0,-1
567,12,17,5,2,0,0,0,0
568,12,18,5,2,0,0,1,0
569,12,19,7,2,1,0,0,0
570,12,20,3,1,1,0,0,0
571,12,21,7,2,1,0,0,0
572,12,22,7,2,1,0,0,0
573,12,23,3,1,1,0,0,1
574,12,24,4,1,1,1,0,0
575,12,25,4,1,1,1,0,0
576,12,26,4,1,1,1,0,0
577,12,27,4,1,1,1,0,0
578,12,28,8,2,1,1,0,0
579,12,29,4,1,1,1,0,-1
580,12,30,3,1,1,0,0,0
581,12,31,3,1,1,0,0,0
582,12,32,3,1,1,0,0,1
583,12,33,8,2,1,1,0,0
584,12,34,4,1,1,1,0,0
585,12,35,4,1,1,1,0,0
586,12,36,4,1,1,1,0,0
587,12,37,8,2,1,1,-1,-1
588,12,38,5,2,0,0,0,0
589,12,39,1,1,0,0,0,1
590,12,40,2,1,0,1,1,0
591,12,41,4,1,1,1,0,0
592,12,42,8,2,1,1,0,0
593,12,43,8,2,1,1,0,0
594,12,44,8,2,1,1,0,0
595,12,45,4,1,1,1,0,0
596,12,46,8,2,1,1,0,0
597,12,47,8,2,1,1,0,0
598,12,48,4,1,1,1,0,0
599,12,49,4,1,1,1,0,0
600,12,50,4,1,1,1,-1,0
601,13,1,7,2,1,0,0,0
602,13,2,3,1,1,0,-1,1
603,13,3,2,1,0,1,1,0
604,13,4,4,1,1,1,0,0
605,13,5,8,2,1,1,0,0
606,13,6,8,2,1,1,-1,-1
607,13,7,1,1,0,0,0,1
608,13,8,2,1,0,1,1,0
609,13,9,4,1,1,1,0,0
610,13,10,4,1,1,1,0,-1
611,13,11,3,1,1,0,0,0
612,13,12,3,1,1,0,0,0
613,13,13,3,1,1,0,0,0
614,13,14,7,2,1,0,0,0
615,13,15,3,1,1,0,0,0
616,13,16,7,2,1,0,0,0
617,13,17,3,1,1,0,0,0
618,13,18,3,1,1,0,0,1
619,13,19,4,1,1,1,0,0
620,13,20,8,2,1,1,0,0
621,13,21,4,1,1,1,-1,-1
622,13,22,5,2,0,0,0,0
623,13,23,1,1,0,0,0,0
624,13,24,5,2,0,0,1,0
625,13,25,3,1,1,0,0,1
626,13,26,8,2,1,1,-1,0
627,13,27,6,2,0,1,0,-1
628,13,28,1,1,0,0,0,0
629,13,29,1,1,0,0,0,0
630,13,30,5,2,0,0,0,0
631,13,31,1,1,0,0,0,0
632,13,32,5,2,0,0,0,0
633,13,33,5,2,0,0,0,0
634,13,34,5,2,0,0,0,0
635,13,35,5,2,0,0,1,1
636,13,36,8,2,1,1,0,-1
637,13,37,7,2,1,0,0,0
638,13,38,7,2,1,0,0,1
639,13,39,8,2,1,1,-1,0
640,13,40,2,1,0,1,1,0
641,13,41,4,1,1,1,0,0
642,13,42,4,1,1,1,-1,0
643,13,43,2,1,0,1,0,0
644,13,44,2,1,0,1,0,-1
645,13,45,1,1,0,0,0,0
646,13,46,5,2,0,0,0,1
647,13,47,6,2,0,1,0,0
648,13,48,6,2,0,1,1,0
649,13,49,4,1,1,1,0,0
650,13,50,8,2,1,1,-1,0
651,14,1,2,1,0,1,1,-1
652,14,2,7,2,1,0,0,0
653,14,3,7,2,1,0,0,0
654,14,4,7,2,1,0,-1,0
655,14,5,5,2,0,0,0,0
656,14,6,5,2,0,0,0,0
657,14,7,1,1,0,0,1,0
658,14,8,7,2,1,0,0,1
659,14,9,8,2,1,1,0,-1
660,14,10,3,1,1,0,-1,0
661,14,11,5,2,0,0,0,1
662,14,12,2,1,0,1,0,0
663,14,13,2,1,0,1,0,-1
664,14,14,5,2,0,0,0,1
665,14,15,2,1,0,1,0,0
666,14,16,6,2,0,1,1,0
667,14,17,8,2,1,1,0,0
668,14,18,8,2,1,1,0,0
669,14,19,8,2,1,1,0,0
670,14,20,8,2,1,1,0,0
671,14,21,8,2,1,1,0,0
672,14,22,8,2,1,1,0,0
673,14,23,4,1,1,1,0,0
674,14,24,4,1,1,1,0,0
675,14,25,8,2,1,1,0,0
676,14,26,8,2,1,1,-1,0
677,14,27,6,2,0,1,0,0
678,14,28,2,1,0,1,1,0
679,14,29,4,1,1,1,0,0
680,14,30,4,1,1,1,-1,0
681,14,31,2,1,0,1,1,-1
682,14,32,7,2,1,0,0,0
683,14,33,7,2,1,0,-1,1
684,14,34,2,1,0,1,1,-1
685,14,35,3,1,1,0,0,1
686,14,36,4,1,1,1,0,0
687,14,37,4,1,1,1,-1,0
688,14,38,2,1,0,1,0,0
689,14,39,2,1,0,1,1,0
690,14,40,4,1,1,1,0,0
691,14,41,4,1,1,1,0,0
692,14,42,8,2,1,1,0,0
693,14,43,8,2,1,1,0,0
694,14,44,8,2,1,1,0,0
695,14,45,4,1,1,1,0,0
696,14,46,8,2,1,1,-1,0
697,14,47,2,1,0,1,1,0
698,14,48,4,1,1,1,0,0
699,14,49,4,1,1,1,0,0
700,14,50,8,2,1,1,-1,0
701,15,1,8,2,1,1,-1,0
702,15,2,6,2,0,1,0,0
703,15,3,2,1,0,1,0,0
704,15,4,2,1,0,1,0,0
705,15,5,2,1,0,1,1,0
706,15,6,4,1,1,1,-1,0
707,15,7,2,1,0,1,0,0
708,15,8,2,1,0,1,0,0
709,15,9,2,1,0,1,0,-1
710,15,10,1,1,0,0,1,1
711,15,11,4,1,1,1,0,0
712,15,12,8,2,1,1,0,0
713,15,13,4,1,1,1,-1,0
714,15,14,2,1,0,1,1,-1
715,15,15,7,2,1,0,0,1
716,15,16,4,1,1,1,-1,-1
717,15,17,1,1,0,0,0,1
718,15,18,2,1,0,1,0,-1
719,15,19,1,1,0,0,0,0
720,15,20,1,1,0,0,0,1
721,15,21,2,1,0,1,0,-1
722,15,22,1,1,0,0,0,0
723,15,23,1,1,0,0,1,0
724,15,24,3,1,1,0,0,0
725,15,25,3,1,1,0,0,1
726,15,26,8,2,1,1,-1,0
727,15,27,6,2,0,1,0,0
728,15,28,6,2,0,1,0,0
729,15,29,2,1,0,1,0,-1
730,15,30,1,1,0,0,0,0
731,15,31,1,1,0,0,1,0
732,15,32,3,1,1,0,0,0
733,15,33,3,1,1,0,-1,1
734,15,34,6,2,0,1,0,0
735,15,35,6,2,0,1,0,0
736,15,36,6,2,0,1,0,-1
737,15,37,5,2,0,0,1,0
738,15,38,3,1,1,0,0,0
739,15,39,3,1,1,0,-1,1
740,15,40,6,2,0,1,1,0
741,15,41,8,2,1,1,0,0
742,15,42,8,2,1,1,0,0
743,15,43,4,1,1,1,0,0
744,15,44,4,1,1,1,0,0
745,15,45,4,1,1,1,0,0
746,15,46,4,1,1,1,0,0
747,15,47,8,2,1,1,0,0
748,15,48,8,2,1,1,-1,0
749,15,49,2,1,0,1,0,0
750,15,50,2,1,0,1,0,0
751,16,1,6,2,0,1,1,0
752,16,2,8,2,1,1,0,-1
753,16,3,3,1,1,0,-1,0
754,16,4,1,1,0,0,1,0
755,16,5,3,1,1,0,0,0
756,16,6,3,1,1,0,0,0
757,16,7,3,1,1,0,-1,0
758,16,8,1,1,0,0,0,0
759,16,9,1,1,0,0,1,0
760,16,10,3,1,1,0,0,0
761,16,11,3,1,1,0,0,0
762,16,12,3,1,1,0,0,1
763,16,13,4,1,1,1,-1,0
764,16,14,2,1,0,1,0,0
765,16,15,2,1,0,1,0,0
